tick,time_s,pack_voltage,pack_current,pack_soc_ekf,pack_soh,max_temp_c,delta_v_mv,fault_summary,pack_energy_wh
0,0.0,33.0253,16.0000,0.984975,1.000000,25.005,42.624,NORMAL,0.1468
10,10.0,32.9502,16.0000,0.982201,1.000000,25.052,42.624,"[WARNING] OV(Cell 0), OV(Cell 1), OV(Cell 2), OV(Cell 3), OV(Cell 5), OV(Cell 6), OV(Cell 7), OV(Cell 9), OV(Cell 10), OV(Cell 11), OV(Cell 12), OV(Cell 13), OV(Cell 14), OV(Cell 16), OV(Cell 18), OV(Cell 19), OV(Cell 20), OV(Cell 21), OV(Cell 22), OV(Cell 23), OV(Cell 24), OV(Cell 26), OV(Cell 29), OV(Cell 30), OV(Cell 31), OV(Cell 33), OV(Cell 34), OV(Cell 37), OV(Cell 39), OV(Cell 40), OV(Cell 41), OV(Cell 42), OV(Cell 44), OV(Cell 45), OV(Cell 46), OV(Cell 48), OV(Cell 52), OV(Cell 53), OV(Cell 54), OV(Cell 55), OV(Cell 56), OV(Cell 57), OV(Cell 60), OV(Cell 61), OV(Cell 62), OV(Cell 63)",1.6127
20,20.0,32.8875,16.0000,0.979426,1.000000,25.096,42.654,NORMAL,3.0756
30,30.0,32.8337,16.0000,0.976651,1.000000,25.138,42.695,NORMAL,4.5359
40,40.0,32.7863,16.0000,0.973876,1.000000,25.176,42.975,NORMAL,5.9940
50,50.0,32.7433,16.0000,0.971102,1.000000,25.212,44.099,NORMAL,7.4501
60,60.0,32.2856,32.0000,0.967773,1.000000,25.275,46.879,NORMAL,9.1877
70,70.0,32.1727,32.0000,0.962226,1.000000,25.448,49.082,NORMAL,12.0519
80,80.0,32.0721,32.0000,0.956677,1.000000,25.609,51.305,NORMAL,14.9067
90,90.0,31.9804,32.0000,0.951128,1.000000,25.759,53.528,NORMAL,17.7531
100,100.0,31.8946,32.0000,0.945576,1.000000,25.900,50.321,NORMAL,20.5915
110,110.0,32.4177,8.0000,0.940439,1.000000,26.014,49.297,NORMAL,23.2114
120,120.0,32.4545,8.0000,0.939046,1.000000,25.960,49.984,NORMAL,23.9323
130,130.0,32.4752,8.0000,0.937656,1.000000,25.910,49.705,NORMAL,24.6538
